名詞,,サ変名詞,,形容動詞,,人名,,ナイ形容,,副詞可能,,タグ,,感動詞,,動詞,,形容詞,,副詞,,名詞B,,動詞B,,形容詞B,,副詞B,,名詞C,,否定助動詞,
弁護士,6,電話,7,無理,3,頼,1,申し訳,1,今日,12,警察署,2,うーん,18,行く,14,悪い,2,必ず,4,いち,1,する,16,ない,3,もう,17,家,3,ない,15
警察,5,逮捕,3,だめ,2,,,,,明日,5,身柄拘束,1,うん,11,思う,8,危ない,1,何とか,1,とこ,1,やる,4,いい,2,そう,11,気,1,,
会社,2,経理,2,完全,2,,,,,夜,4,任意同行,1,はい,5,行ける,5,早い,1,結構,1,,,いる,3,すごい,1,たぶん,7,手,1,,
刑事,2,説明,2,大変,2,,,,,今,2,,,あー,2,出る,5,遅い,1,別に,1,,,なる,3,,,なるべく,4,人,1,,
証拠,2,扱い,1,まれ,1,,,,,朝,2,,,あっ,2,分かる,5,,,,,,,かかる,2,,,これから,3,他,1,,
事情,1,従業,1,大丈夫,1,,,,,いま,1,,,ありがと,2,言う,4,,,,,,,くる,2,,,ちゃんと,3,,,,
取調べ,1,聴取,1,,,,,,,さっき,1,,,ほんと,2,向かう,3,,,,,,,つける,2,,,ほんとに,3,,,,
書類,1,話,1,,,,,,,時間,1,,,あのー,1,待つ,2,,,,,,,いく,1,,,ちょっと,2,,,,
税理士,1,,,,,,,,,絶対,1,,,いやー,1,連れる,2,,,,,,,かう,1,,,まあ,2,,,,
早め,1,,,,,,,,,全部,1,,,えー,1,挙がる,1,,,,,,,かする,1,,,いきなり,1,,,,
泊まり,1,,,,,,,,,,,,,ごめん,1,見つかる,1,,,,,,,かためる,1,,,いろいろ,1,,,,
名前,1,,,,,,,,,,,,,そのー,1,行う,1,,,,,,,かなう,1,,,すぐ,1,,,,
容疑,1,,,,,,,,,,,,,ほら,1,作る,1,,,,,,,しゃべる,1,,,ずっと,1,,,,
裏付け,1,,,,,,,,,,,,,もしもし,1,取る,1,,,,,,,ちゃう,1,,,ちょうど,1,,,,
,,,,,,,,,,,,,,,,終わる,1,,,,,,,,,,,どう,1,,,,
,,,,,,,,,,,,,,,,助かる,1,,,,,,,,,,,どうしても,1,,,,
,,,,,,,,,,,,,,,,知る,1,,,,,,,,,,,どうせ,1,,,,
,,,,,,,,,,,,,,,,知れる,1,,,,,,,,,,,なんとか,1,,,,
,,,,,,,,,,,,,,,,捕まる,1,,,,,,,,,,,また,1,,,,
,,,,,,,,,,,,,,,,落ち着く,1,,,,,,,,,,,まだ,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,もし,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,もしか,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,もしも,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,やっぱ,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,やっぱり,1,,,,
