名詞,,サ変名詞,,形容動詞,,人名,,ナイ形容,,副詞可能,,タグ,,感動詞,,動詞,,形容詞,,副詞,,名詞B,,動詞B,,形容詞B,,副詞B,,名詞C,,否定助動詞,
お金,7,お世話,2,正直,3,中村,4,問題,2,今,5,身分証,1,あのー,3,行く,4,詳しい,2,何とか,3,そん,1,する,7,すごい,2,ちょっと,3,株,5,ない,15
自分,3,一緒,2,嫌,1,,,,,さっき,1,,,ごめん,3,言う,3,,,多少なりとも,1,はん,1,なる,6,ない,2,いくら,1,家,1,,
銀行,2,連絡,2,駄目,1,,,,,金曜日,1,,,あー,1,持つ,2,,,要は,1,,,できる,5,まずい,1,いろいろ,1,気,1,,
会社,1,お願い,1,,,,,,,今週,1,,,いや,1,断る,2,,,,,,,おろす,2,,,すぐ,1,親,1,,
共犯,1,ちょうだい,1,,,,,,,今日,1,,,うーん,1,買う,2,,,,,,,ある,1,,,なんとか,1,人,1,,
金額,1,解約,1,,,,,,,昔,1,,,もしもし,1,下ろせる,1,,,,,,,いう,1,,,もう,1,,,,
現状,1,話,1,,,,,,,全部,1,,,,,会う,1,,,,,,,いる,1,,,やっぱり,1,,,,
向こう,1,,,,,,,,,,,,,,,帰る,1,,,,,,,おろせる,1,,,,,,,,
最初,1,,,,,,,,,,,,,,,限る,1,,,,,,,ちゃう,1,,,,,,,,
残り,1,,,,,,,,,,,,,,,済む,1,,,,,,,つける,1,,,,,,,,
前々,1,,,,,,,,,,,,,,,思う,1,,,,,,,やる,1,,,,,,,,
通帳,1,,,,,,,,,,,,,,,出し合う,1,,,,,,,わかる,1,,,,,,,,
本当,1,,,,,,,,,,,,,,,出す,1,,,,,,,,,,,,,,,,
名義,1,,,,,,,,,,,,,,,出る,1,,,,,,,,,,,,,,,,
利益,1,,,,,,,,,,,,,,,足す,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,足る,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,待つ,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,貸す,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,知る,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,盗む,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,聞く,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,返す,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,無くなる,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,誘う,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,来る,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,話す,1,,,,,,,,,,,,,,,,
